model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,PJMC_to_MISC,2027,base_52_week,MW,5244.0,5244.000000590803
SWITCH,PJMC_to_PJMW,2027,base_52_week,MW,980.0,980.0000035193198
SWITCH,PJMC_to_MISW,2027,base_52_week,MW,3200.0,3200.000000094612
SWITCH,PJME_to_NYUP,2027,base_52_week,MW,1255.0,1255.0000005009
SWITCH,PJME_to_PJMW,2027,base_52_week,MW,3885.0,3885.000002180893
SWITCH,PJME_to_NYCW,2027,base_52_week,MW,660.0,5195.653420944494
SWITCH,PJME_to_PJMD,2027,base_52_week,MW,1200.0,1200.0000273570065
SWITCH,MISE_to_MISC,2027,base_52_week,MW,0.0,8.01203702520583e-05
SWITCH,MISE_to_PJMW,2027,base_52_week,MW,2662.0,2662.000000590578
SWITCH,MISE_to_MISW,2027,base_52_week,MW,0.0,6.024090027593063e-05
SWITCH,ISNE_to_NYUP,2027,base_52_week,MW,1400.0,1400.0000003306488
SWITCH,ISNE_to_NYCW,2027,base_52_week,MW,760.0,760.0000000091618
SWITCH,MISC_to_SPPC,2027,base_52_week,MW,1430.0,1430.0000022020297
SWITCH,MISC_to_PJMW,2027,base_52_week,MW,5441.0,5441.00000527353
SWITCH,MISC_to_SRCE,2027,base_52_week,MW,3745.0,3745.0000003389314
SWITCH,MISC_to_SPPS,2027,base_52_week,MW,1172.0,1172.0000005697468
SWITCH,MISC_to_MISS,2027,base_52_week,MW,1039.0,1039.0000014588538
SWITCH,MISC_to_SPPN,2027,base_52_week,MW,0.0,0.0001630592553229
SWITCH,MISC_to_MISW,2027,base_52_week,MW,1655.0,1655.000000325167
SWITCH,CANO_to_BASN,2027,base_52_week,MW,100.0,100.0000002153826
SWITCH,CANO_to_CASO,2027,base_52_week,MW,3675.0,3675.000015476248
SWITCH,CANO_to_NWPP,2027,base_52_week,MW,3675.0,3675.000000129954
SWITCH,TREW_to_TRE,2027,base_52_week,MW,16529.0,16529.000000006377
SWITCH,TREW_to_SPPS,2027,base_52_week,MW,220.0,1733.0468724236862
SWITCH,SPPC_to_SPPS,2027,base_52_week,MW,3372.0,3372.000000073056
SWITCH,SPPC_to_MISS,2027,base_52_week,MW,0.0,0.000170013051539
SWITCH,SPPC_to_SPPN,2027,base_52_week,MW,1433.0,2939.434760969507
SWITCH,SPPC_to_MISW,2027,base_52_week,MW,0.0,6.683932427617997e-05
SWITCH,FRCC_to_SRSE,2027,base_52_week,MW,3600.0,3600.0000020323387
SWITCH,TRE_to_SPPS,2027,base_52_week,MW,600.0,600.0000023973906
SWITCH,SRCA_to_PJMW,2027,base_52_week,MW,1219.0,1219.0000000034886
SWITCH,SRCA_to_SRCE,2027,base_52_week,MW,216.0,216.00000041615
SWITCH,SRCA_to_PJMD,2027,base_52_week,MW,1000.0,1000.0000001245588
SWITCH,SRCA_to_SRSE,2027,base_52_week,MW,1400.0,1400.0000000685195
SWITCH,NYUP_to_NYCW,2027,base_52_week,MW,2489.0,2489.000000020052
SWITCH,PJMW_to_SRCE,2027,base_52_week,MW,3333.0,3333.0000002548704
SWITCH,PJMW_to_PJMD,2027,base_52_week,MW,6930.0,6930.000001063894
SWITCH,BASN_to_RMRG,2027,base_52_week,MW,3750.0,3750.00000006976
SWITCH,BASN_to_CASO,2027,base_52_week,MW,5920.0,5920.000038203346
SWITCH,BASN_to_NWPP,2027,base_52_week,MW,3350.0,3350.000001378713
SWITCH,BASN_to_SRSG,2027,base_52_week,MW,5385.0,5385.000000801651
SWITCH,SRCE_to_MISS,2027,base_52_week,MW,4092.0,4092.000000417153
SWITCH,SRCE_to_SRSE,2027,base_52_week,MW,3196.0,3196.000000094494
SWITCH,SPPS_to_MISS,2027,base_52_week,MW,1697.0,1697.0000185949073
SWITCH,SPPS_to_SRSG,2027,base_52_week,MW,1010.0,1010.0000003058092
SWITCH,SPPS_to_SPPN,2027,base_52_week,MW,0.0,0.0006400739072717
SWITCH,RMRG_to_NWPP,2027,base_52_week,MW,400.0,400.0000002769655
SWITCH,RMRG_to_SRSG,2027,base_52_week,MW,614.0,614.0000011592138
SWITCH,MISS_to_SRSE,2027,base_52_week,MW,891.0,891.0000015533157
SWITCH,CASO_to_NWPP,2027,base_52_week,MW,2858.0,2858.000000068396
SWITCH,CASO_to_SRSG,2027,base_52_week,MW,4354.0,4354.000004718441
SWITCH,SPPN_to_MISW,2027,base_52_week,MW,5512.0,5512.00001360694
SWITCH,NWPP_to_SPPN,2027,base_52_week,MW,0.0,4.136516448335821e-05
SWITCH,NWPP_to_MISW,2027,base_52_week,MW,200.0,200.0000000969968
SWITCH,RMRG_to_SPPN,2027,base_52_week,MW,410.0,1719.9395971290592
SWITCH,RMRG_to_SPPC,2027,base_52_week,MW,210.0,210.0000011805136
SWITCH,SRSG_to_TRE,2027,base_52_week,MW,0.0,6.27725419226825e-05
SWITCH,PJMC_to_MISC,2030,base_52_week,MW,5244.000000590803,5244.000000955408
SWITCH,PJMC_to_PJMW,2030,base_52_week,MW,980.0000035193198,9644.356278285068
SWITCH,PJMC_to_MISW,2030,base_52_week,MW,3200.000000094612,9118.050159584582
SWITCH,PJME_to_NYUP,2030,base_52_week,MW,1255.0000005009,4759.077065499701
SWITCH,PJME_to_PJMW,2030,base_52_week,MW,3885.000002180893,6877.401761552017
SWITCH,PJME_to_NYCW,2030,base_52_week,MW,5195.653420944494,5442.523306372722
SWITCH,PJME_to_PJMD,2030,base_52_week,MW,1200.0000273570065,4021.3395088903226
SWITCH,MISE_to_MISC,2030,base_52_week,MW,8.01203702520583e-05,1999.892942689328
SWITCH,MISE_to_PJMW,2030,base_52_week,MW,2662.000000590578,2662.000000894224
SWITCH,MISE_to_MISW,2030,base_52_week,MW,6.024090027593063e-05,800.0709134080558
SWITCH,ISNE_to_NYUP,2030,base_52_week,MW,1400.0000003306488,5756.443906588966
SWITCH,ISNE_to_NYCW,2030,base_52_week,MW,760.0000000091618,760.0000000160005
SWITCH,MISC_to_SPPC,2030,base_52_week,MW,1430.0000022020297,6457.366629541463
SWITCH,MISC_to_PJMW,2030,base_52_week,MW,5441.00000527353,5441.000009305784
SWITCH,MISC_to_SRCE,2030,base_52_week,MW,3745.0000003389314,3745.000000557272
SWITCH,MISC_to_SPPS,2030,base_52_week,MW,1172.0000005697468,4135.197322628708
SWITCH,MISC_to_MISS,2030,base_52_week,MW,1039.0000014588538,1039.0000021834014
SWITCH,MISC_to_SPPN,2030,base_52_week,MW,0.0001630592553229,1529.0157335662543
SWITCH,MISC_to_MISW,2030,base_52_week,MW,1655.000000325167,1655.000000546691
SWITCH,CANO_to_BASN,2030,base_52_week,MW,100.0000002153826,100.00000031974172
SWITCH,CANO_to_CASO,2030,base_52_week,MW,3675.000015476248,3675.000015797662
SWITCH,CANO_to_NWPP,2030,base_52_week,MW,3675.000000129954,3675.000000180661
SWITCH,TREW_to_TRE,2030,base_52_week,MW,16529.000000006377,16529.000000139902
SWITCH,TREW_to_SPPS,2030,base_52_week,MW,1733.0468724236862,6168.4402376588605
SWITCH,SPPC_to_SPPS,2030,base_52_week,MW,3372.000000073056,3372.0000002891898
SWITCH,SPPC_to_MISS,2030,base_52_week,MW,0.000170013051539,3014.558486124285
SWITCH,SPPC_to_SPPN,2030,base_52_week,MW,2939.434760969507,2939.434762593378
SWITCH,SPPC_to_MISW,2030,base_52_week,MW,6.683932427617997e-05,7.151153082685022e-05
SWITCH,FRCC_to_SRSE,2030,base_52_week,MW,3600.0000020323387,3600.000002240582
SWITCH,TRE_to_SPPS,2030,base_52_week,MW,600.0000023973906,8242.533432430859
SWITCH,SRCA_to_PJMW,2030,base_52_week,MW,1219.0000000034886,1219.0000004186163
SWITCH,SRCA_to_SRCE,2030,base_52_week,MW,216.00000041615,216.00000060477447
SWITCH,SRCA_to_PJMD,2030,base_52_week,MW,1000.0000001245588,1000.00000140442
SWITCH,SRCA_to_SRSE,2030,base_52_week,MW,1400.0000000685195,1400.0000002091
SWITCH,NYUP_to_NYCW,2030,base_52_week,MW,2489.000000020052,4388.948209625509
SWITCH,PJMW_to_SRCE,2030,base_52_week,MW,3333.0000002548704,3333.000000372682
SWITCH,PJMW_to_PJMD,2030,base_52_week,MW,6930.000001063894,6930.000001066525
SWITCH,BASN_to_RMRG,2030,base_52_week,MW,3750.00000006976,3750.0000001252
SWITCH,BASN_to_CASO,2030,base_52_week,MW,5920.000038203346,5920.000042667225
SWITCH,BASN_to_NWPP,2030,base_52_week,MW,3350.000001378713,3350.000001615936
SWITCH,BASN_to_SRSG,2030,base_52_week,MW,5385.000000801651,5385.00000277489
SWITCH,SRCE_to_MISS,2030,base_52_week,MW,4092.000000417153,4092.0000010370914
SWITCH,SRCE_to_SRSE,2030,base_52_week,MW,3196.000000094494,3196.0000001267417
SWITCH,SPPS_to_MISS,2030,base_52_week,MW,1697.0000185949073,18667.00001630371
SWITCH,SPPS_to_SRSG,2030,base_52_week,MW,1010.0000003058092,8184.751023750215
SWITCH,SPPS_to_SPPN,2030,base_52_week,MW,0.0006400739072717,5402.606373557447
SWITCH,RMRG_to_NWPP,2030,base_52_week,MW,400.0000002769655,3677.713165041136
SWITCH,RMRG_to_SRSG,2030,base_52_week,MW,614.0000011592138,975.312048029074
SWITCH,MISS_to_SRSE,2030,base_52_week,MW,891.0000015533157,7881.103920137477
SWITCH,CASO_to_NWPP,2030,base_52_week,MW,2858.000000068396,2858.000000311287
SWITCH,CASO_to_SRSG,2030,base_52_week,MW,4354.000004718441,7597.687317502072
SWITCH,SPPN_to_MISW,2030,base_52_week,MW,5512.00001360694,5512.000013716409
SWITCH,NWPP_to_SPPN,2030,base_52_week,MW,4.136516448335821e-05,557.4458789844103
SWITCH,NWPP_to_MISW,2030,base_52_week,MW,200.0000000969968,200.00000010852293
SWITCH,RMRG_to_SPPN,2030,base_52_week,MW,1719.9395971290592,3667.5624709033655
SWITCH,RMRG_to_SPPC,2030,base_52_week,MW,210.0000011805136,6185.733851735088
SWITCH,SRSG_to_TRE,2030,base_52_week,MW,6.27725419226825e-05,1564.8330534971196
SWITCH,PJMC_to_MISC,2035,base_52_week,MW,5244.000000955408,5244.000000969919
SWITCH,PJMC_to_PJMW,2035,base_52_week,MW,9644.356278285068,10570.975652748792
SWITCH,PJMC_to_MISW,2035,base_52_week,MW,9118.050159584582,9118.050159800232
SWITCH,PJME_to_NYUP,2035,base_52_week,MW,4759.077065499701,8563.42737185275
SWITCH,PJME_to_PJMW,2035,base_52_week,MW,6877.401761552017,27297.520852935333
SWITCH,PJME_to_NYCW,2035,base_52_week,MW,5442.523306372722,9744.137925438745
SWITCH,PJME_to_PJMD,2035,base_52_week,MW,4021.3395088903226,4021.33952542328
SWITCH,MISE_to_MISC,2035,base_52_week,MW,1999.892942689328,2155.074561403475
SWITCH,MISE_to_PJMW,2035,base_52_week,MW,2662.000000894224,2662.000001741081
SWITCH,MISE_to_MISW,2035,base_52_week,MW,800.0709134080558,800.0709158569815
SWITCH,ISNE_to_NYUP,2035,base_52_week,MW,5756.443906588966,9867.87444403736
SWITCH,ISNE_to_NYCW,2035,base_52_week,MW,760.0000000160005,760.000000035921
SWITCH,MISC_to_SPPC,2035,base_52_week,MW,6457.366629541463,8210.24404960011
SWITCH,MISC_to_PJMW,2035,base_52_week,MW,5441.000009305784,5441.000009477023
SWITCH,MISC_to_SRCE,2035,base_52_week,MW,3745.000000557272,3745.000000932351
SWITCH,MISC_to_SPPS,2035,base_52_week,MW,4135.197322628708,4286.506566845718
SWITCH,MISC_to_MISS,2035,base_52_week,MW,1039.0000021834014,1039.000009972866
SWITCH,MISC_to_SPPN,2035,base_52_week,MW,1529.0157335662543,1529.015749111704
SWITCH,MISC_to_MISW,2035,base_52_week,MW,1655.000000546691,1655.0000005536433
SWITCH,CANO_to_BASN,2035,base_52_week,MW,100.00000031974172,100.00000051761413
SWITCH,CANO_to_CASO,2035,base_52_week,MW,3675.000015797662,3675.000016121371
SWITCH,CANO_to_NWPP,2035,base_52_week,MW,3675.000000180661,3675.000000206264
SWITCH,TREW_to_TRE,2035,base_52_week,MW,16529.000000139902,16529.000000652057
SWITCH,TREW_to_SPPS,2035,base_52_week,MW,6168.4402376588605,6899.083097210533
SWITCH,SPPC_to_SPPS,2035,base_52_week,MW,3372.0000002891898,3898.780347847181
SWITCH,SPPC_to_MISS,2035,base_52_week,MW,3014.558486124285,3014.5584880574447
SWITCH,SPPC_to_SPPN,2035,base_52_week,MW,2939.434762593378,2939.4347632596114
SWITCH,SPPC_to_MISW,2035,base_52_week,MW,7.151153082685022e-05,0.0001646994291515
SWITCH,FRCC_to_SRSE,2035,base_52_week,MW,3600.000002240582,3600.000005012738
SWITCH,TRE_to_SPPS,2035,base_52_week,MW,8242.533432430859,8242.533433237733
SWITCH,SRCA_to_PJMW,2035,base_52_week,MW,1219.0000004186163,1219.0000023654577
SWITCH,SRCA_to_SRCE,2035,base_52_week,MW,216.00000060477444,216.00000062827027
SWITCH,SRCA_to_PJMD,2035,base_52_week,MW,1000.00000140442,1124.9014735283283
SWITCH,SRCA_to_SRSE,2035,base_52_week,MW,1400.0000002091,1400.000000911981
SWITCH,NYUP_to_NYCW,2035,base_52_week,MW,4388.94820962551,4388.948211284661
SWITCH,PJMW_to_SRCE,2035,base_52_week,MW,3333.000000372682,3333.0000009674336
SWITCH,PJMW_to_PJMD,2035,base_52_week,MW,6930.000001066525,6930.000001191314
SWITCH,BASN_to_RMRG,2035,base_52_week,MW,3750.0000001252006,3750.000006729163
SWITCH,BASN_to_CASO,2035,base_52_week,MW,5920.000042667225,5920.000046839239
SWITCH,BASN_to_NWPP,2035,base_52_week,MW,3350.000001615936,3350.0000022565864
SWITCH,BASN_to_SRSG,2035,base_52_week,MW,5385.00000277489,5385.000002777938
SWITCH,SRCE_to_MISS,2035,base_52_week,MW,4092.000001037092,4092.0000012756727
SWITCH,SRCE_to_SRSE,2035,base_52_week,MW,3196.0000001267417,3196.0000001766216
SWITCH,SPPS_to_MISS,2035,base_52_week,MW,18667.00001630371,21359.0890008568
SWITCH,SPPS_to_SRSG,2035,base_52_week,MW,8184.751023750215,8668.492320082298
SWITCH,SPPS_to_SPPN,2035,base_52_week,MW,5402.606373557447,5718.341322619621
SWITCH,RMRG_to_NWPP,2035,base_52_week,MW,3677.713165041136,5022.234193354212
SWITCH,RMRG_to_SRSG,2035,base_52_week,MW,975.312048029074,2102.896575772633
SWITCH,MISS_to_SRSE,2035,base_52_week,MW,7881.103920137477,7881.103921986011
SWITCH,CASO_to_NWPP,2035,base_52_week,MW,2858.000000311287,2858.000001370524
SWITCH,CASO_to_SRSG,2035,base_52_week,MW,7597.687317502072,8761.234933156493
SWITCH,SPPN_to_MISW,2035,base_52_week,MW,5512.000013716409,5512.00001375355
SWITCH,NWPP_to_SPPN,2035,base_52_week,MW,557.4458789844103,1260.4685777589184
SWITCH,NWPP_to_MISW,2035,base_52_week,MW,200.00000010852293,200.00000050137407
SWITCH,RMRG_to_SPPN,2035,base_52_week,MW,3667.5624709033655,3991.39800402139
SWITCH,RMRG_to_SPPC,2035,base_52_week,MW,6185.733851735088,8736.653136416768
SWITCH,SRSG_to_TRE,2035,base_52_week,MW,1564.8330534971196,2424.4395163574472
SWITCH,PJMC_to_MISC,2040,base_52_week,MW,5244.000000969919,5244.000001255813
SWITCH,PJMC_to_PJMW,2040,base_52_week,MW,10570.975652748792,11392.030093908734
SWITCH,PJMC_to_MISW,2040,base_52_week,MW,9118.050159800232,10548.662025935017
